Species,NA_snake_ranges_RDB,US_snake_table_data,Matched Locations,No match with US_ST
Agkistrodon conanti,"Alabama, Arkansas, Florida, Georgia, Illinois, Louisiana, Mississippi, Oklahoma, Texas","Georgia, Florida","Florida, Georgia","Alabama, Arkansas, Illinois, Louisiana, Mississippi, Oklahoma, Texas"
Agkistrodon contortrix,"Alabama, Arkansas, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Mississippi, Missouri, Nebraska, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, West Virginia","West Virginia, Iowa, Arkansas, Pennsylvania, Texas, Tennessee, Indiana, Chihuahua, New Jersey, Missouri, Kentucky, Louisiana, Virginia, Massachusetts, North Carolina, Florida, Connecticut, Ohio, Georgia, South Carolina, Maryland, New York, Alabama, Coahuila, Mississippi, Delaware, Illinois, Nebraska, Oklahoma, Kansas","Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Mississippi, Missouri, Nebraska, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, West Virginia",District of Columbia
Agkistrodon laticinctus,"Arkansas, Kansas, Missouri, Nebraska, Oklahoma, Texas","Texas, Chihuahua, Oklahoma, Coahuila, Kansas","Kansas, Oklahoma, Texas","Arkansas, Missouri, Nebraska"
Agkistrodon piscivorus,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kansas, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia","Georgia, Kentucky, South Carolina, Arkansas, Illinois, Texas, Tennessee, Louisiana, Indiana, Kansas, Alabama, Virginia, Oklahoma, North Carolina, Florida, Mississippi, Missouri","Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kansas, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia",
Arizona elegans,"Arizona, California, Colorado, Kansas, Nebraska, Nevada, New Mexico, Oklahoma, Texas, Utah","Tamaulipas, Texas, Sinaloa, Durango, Chihuahua, Sonora, Baja California, New Mexico, Colorado, Utah, Coahuila, San Luis PotosÃ­Â­, Arizona, Nebraska, Nevada, Kansas, Oklahoma, California, Aguascalientes","Arizona, California, Colorado, Kansas, Nebraska, Nevada, New Mexico, Oklahoma, Texas, Utah",
Bogertophis subocularis,"New Mexico, Texas","Texas, New Mexico,Nuevo LeÃ³n, Durango, Chihuahua, Coahuila","New Mexico, Texas",
Carphophis amoenus,"Alabama, Arkansas, Connecticut, Delaware, District of Columbia, Georgia, Illinois, Indiana, Kentucky, Louisiana, Maryland, Massachusetts, Mississippi, Missouri, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia, West Virginia","West Virginia, Arkansas, Pennsylvania, Tennessee, Indiana, New Jersey, Missouri, Kentucky, Louisiana, Virginia, North Carolina, Connecticut, Ohio, Georgia, South Carolina, Maryland, New York, Alabama, Mississippi, Delaware, Illinois, Nebraska","Alabama, Arkansas, Connecticut, Delaware, Georgia, Illinois, Indiana, Kentucky, Louisiana, Maryland, Mississippi, Missouri, New Jersey, New York, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Virginia, West Virginia","District of Columbia, Massachusetts, Rhode Island"
Carphophis vermis,"Arkansas, Illinois, Iowa, Kansas, Louisiana, Missouri, Nebraska, Oklahoma, Texas, Wisconsin","Iowa, Wisconsin, Arkansas, Nebraska, Texas, Louisiana, Oklahoma, Kansas, Missouri","Arkansas, Iowa, Kansas, Louisiana, Missouri, Nebraska, Oklahoma, Texas, Wisconsin",Illinois
Cemophora coccinea,"Alabama, Arkansas, Delaware, District of Columbia, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Maryland, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia","Arkansas, Texas, Tennessee, Indiana, New Jersey, Missouri, Kentucky, Louisiana, Virginia, North Carolina, Florida, Georgia, South Carolina, Maryland, Alabama, Mississippi, Delaware, Illinois, Oklahoma","Alabama, Arkansas, Delaware, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Maryland, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia",District of Columbia
Cemophora lineri,Texas,Texas,Texas,
Charina bottae,"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming, Alberta, British Columbia","California, Washington, Nevada, Wyoming, British Columbia, Montana, Utah, Oregon, Idaho","California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming, British Columbia",Alberta
Charina umbratica,California,California,California,
Clonophis kirtlandii,"Illinois, Indiana, Kentucky, Michigan, Missouri, Ohio, Pennsylvania","Ohio, Kentucky, Illinois, Pennsylvania, Tennessee, Indiana, Michigan","Illinois, Indiana, Kentucky, Michigan, Ohio, Pennsylvania",Missouri
Coluber constrictor,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, Saskatchewan, Alberta, British Columbia, Great Lakes","West Virginia, Iowa, Arkansas, Wisconsin, Tamaulipas, Pennsylvania, Colima, Texas, Tennessee, Wyoming, Indiana, Durango, Veracruz, New Jersey, Oregon, Missouri, Rhode Island, Kentucky, oaxaca, Washington, Vermont, Oaxaca, South Dakota, Louisiana, Minnesota, Virginia, Massachusetts, North Carolina, Michigan, Florida, Connecticut, Ohio, Georgia, South Carolina, Maryland, Saskatchewan, New York, Hidalgo, New Mexico,Nuevo LeÃ³n, Colorado, Alabama, Montana, Utah, Maine, North Dakota, Coahuila, Mississippi, San Luis PotosÃ­Â­, Ontario, Illinois, Chiapas, Arizona, Nebraska, British Columbia, Oklahoma, New Hampshire, California, Idaho, Kansas","Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Columbia, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, Saskatchewan, British Columbia","Delaware, District, of, Nevada, Alberta, Great Lakes"
Coniophanes imperialis,Texas,"Quintana Roo, Tamaulipas, Hidalgo, Chiapas, Texas, Oaxaca,Nuevo LeÃ³n, Guerrero, Campeche, Puebla, Veracruz, San Luis PotosÃ­Â­",Texas,
Contia longicaudae,"California, Oregon","California, Oregon","California, Oregon",
Contia tenuis,"California, Oregon, Washington, British Columbia","Washington, Oregon, British Columbia, California","California, Oregon, Washington, British Columbia",
Crotalus adamanteus,"Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina","Georgia, South Carolina, Louisiana, Alabama, North Carolina, Florida, Mississippi","Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina",
Crotalus atrox,"Arizona, Arkansas, California, Kansas, Nevada, New Mexico, Oklahoma, Texas","Tamaulipas, Arkansas, Texas, Sinaloa, Durango, Chihuahua, Veracruz, Sonora, Oaxaca, Hidalgo, Baja California, New Mexico, Jalisco, Zacatecas, Coahuila, Guanajuato, Arizona, Nevada, Oklahoma, California, Aguascalientes","Arizona, Arkansas, California, Nevada, New Mexico, Oklahoma, Texas",Kansas
Crotalus cerastes,"Arizona, California, Nevada, Utah","Baja California, Arizona, Sonora, Nevada, Utah, California","Arizona, California, Nevada, Utah",
Crotalus cerberus,"Arizona, California","New Mexico, Arizona",Arizona,California
Crotalus horridus,"Alabama, Arkansas, Connecticut, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Massachusetts, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, West Virginia, Wisconsin, Great Lakes, Ontario","West Virginia, Iowa, Arkansas, Wisconsin, Pennsylvania, Texas, Tennessee, Indiana, New Jersey, Missouri, Rhode Island, Kentucky, Vermont, Louisiana, Minnesota, Virginia, Massachusetts, North Carolina, Florida, Connecticut, Ohio, Georgia, South Carolina, Maryland, New York, Alabama, Mississippi, Ontario, Illinois, Nebraska, Oklahoma, New Hampshire, Kansas","Alabama, Arkansas, Connecticut, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Massachusetts, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, West Virginia, Wisconsin, Ontario",Great Lakes
Crotalus lepidus,"Arizona, New Mexico, Texas","Tamaulipas, Texas, New Mexico, Arizona, Sinaloa, Jalisco,Nuevo LeÃ³n, Sonora, Durango, Chihuahua, Zacatecas, Nayarit, Coahuila, Aguascalientes, San Luis PotosÃ­Â­","Arizona, New Mexico, Texas",
Crotalus molossus,"Arizona, California, New Mexico, Texas","Tamaulipas, Texas, Sinaloa, Durango, Chihuahua, Veracruz, Oaxaca, Sonora, Nayarit, Hidalgo, New Mexico,Nuevo LeÃ³n, Jalisco, Zacatecas, Coahuila, Puebla, San Luis PotosÃ­Â­, Guanajuato, Tlaxcala, Arizona, Morelos, Aguascalientes","Arizona, New Mexico, Texas",California
Crotalus oreganus,"Arizona, California, Colorado, Idaho, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming, British Columbia","Oregon, Washington, Baja California, Arizona, Nevada, Colorado, British Columbia, Montana, California","Arizona, California, Colorado, Nevada, Oregon, Washington, British Columbia","Idaho, New Mexico, Utah, Wyoming"
Crotalus ornatus,"New Mexico, Texas","New Mexico, Texas, Chihuahua,Nuevo LeÃ³n","New Mexico, Texas",
Crotalus pricei,Arizona,"Tamaulipas, Arizona, Sonora, Jalisco, Sinaloa, Durango, Chihuahua, Zacatecas, Nayarit, Coahuila, Aguascalientes, San Luis PotosÃ­Â­",Arizona,
Crotalus pyrrhus,"Arizona, California, Nevada, Utah","Baja California, Arizona, Sonora, Nevada, Utah, California","Arizona, California, Nevada, Utah",
Crotalus ruber,California,"Baja California, California",California,
Crotalus scutulatus,"Arizona, California, Nevada, New Mexico, Texas, Utah","Tamaulipas, Texas, Durango, Chihuahua, Veracruz, Sonora, Hidalgo, New Mexico, Jalisco, Zacatecas, Utah, Coahuila, Puebla, Guanajuato, Tlaxcala, Arizona, Nevada, California, Aguascalientes","Arizona, California, Nevada, New Mexico, Texas, Utah",
Crotalus stephensi,"California, Nevada","California, Nevada","California, Nevada",
Crotalus tigris,"Arizona, New Mexico","Arizona, Sonora",Arizona,New Mexico
Crotalus viridis,"Arizona, Colorado, Idaho, Iowa, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Utah, Wyoming, Saskatchewan, Alberta","Iowa, Alberta, Texas, Chihuahua, Missouri, Sonora, South Dakota, Saskatchewan, New Mexico, Colorado, Montana, Utah, North Dakota, Coahuila, Nebraska, Arizona, Oklahoma, Idaho, Kansas","Arizona, Colorado, Idaho, Iowa, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Utah, Saskatchewan, Alberta",Wyoming
Crotalus willardi,"Arizona, New Mexico","Hidalgo, New Mexico, Arizona, Sonora, Durango, Chihuahua, Zacatecas","Arizona, New Mexico",
Diadophis punctatus,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, Nova Scotia, New Brunswick, Quebec, Great Lakes, Ontario","West Virginia, Iowa, Arkansas, Wisconsin, Pennsylvania, Texas, Tennessee, Sinaloa, Indiana, Durango, Chihuahua, Veracruz, New Jersey, Oregon, Missouri, Rhode Island, Kentucky, Vermont, Sonora, South Dakota, Louisiana, Minnesota, Virginia, Massachusetts, Aguascalientes, North Carolina, Michigan, Nayarit, Florida, Connecticut, Ohio, Georgia, South Carolina, Maryland, New York, Hidalgo, Baja California, New Mexico,Nuevo LeÃ³n, Jalisco, Quebec, Colorado, Alabama, Maine, Utah, Coahuila, Mississippi, San Luis PotosÃ­Â­, Ontario, Guanajuato, Illinois, Arizona, Nebraska, Nova Scotia, Oklahoma, New Hampshire, California, Idaho, New Brunswick, Kansas","Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, West Virginia, Wisconsin, Nova Scotia, New Brunswick, Quebec, Ontario","Delaware, District of Columbia, Nevada, Washington, Wyoming, Great Lakes"
Drymarchon couperi,"Florida, Georgia","Georgia, South Carolina, Alabama, Florida, Mississippi","Florida, Georgia",
Drymobius margaritiferus,Texas,"Quintana Roo, Tamaulipas, Hidalgo, Chiapas, Texas, Oaxaca,Nuevo LeÃ³n, Jalisco, Sinaloa, Sonora, San Luis PotosÃ­Â­, Campeche, Chihuahua, Guerrero, Morelos, Veracruz, Nayarit, Puebla",Texas,
Farancia abacura,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia","Georgia, Kentucky, South Carolina, Arkansas, Illinois, Texas, Tennessee, Louisiana, Virginia, Alabama, North Carolina, Florida, Mississippi, Missouri","Alabama, Arkansas, Florida, Georgia, Illinois, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, South Carolina, Tennessee, Texas, Virginia","Indiana, Oklahoma"
Farancia erytrogramma,"Alabama, District of Columbia, Florida, Georgia, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Virginia","Georgia, South Carolina, Maryland, Louisiana, Virginia, Alabama, North Carolina, Florida, Mississippi","Alabama, Florida, Georgia, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Virginia",District of Columbia
Ficimia streckeri,Texas,"Tamaulipas, Hidalgo, Texas, Veracruz,QuerÃ©taro, Puebla",Texas,
Gyalopion canum,"Arizona, New Mexico, Texas","Texas, New Mexico, Arizona, Sonora, Jalisco, Durango, Chihuahua, Zacatecas, Coahuila","Arizona, New Mexico, Texas",
Gyalopion quadrangulare,Arizona,"Arizona, Sonora, Sinaloa, Chihuahua, Nayarit",Arizona,
Heterodon kennerlyi,"Arizona, New Mexico, Texas","Tamaulipas, Arizona, New Mexico, Texas, Sonora,Nuevo LeÃ³n, Jalisco, Durango, Chihuahua, Zacatecas, Coahuila, Aguascalientes, San Luis PotosÃ­Â­","Arizona, New Mexico, Texas",
Heterodon nasicus,"Colorado, Illinois, Iowa, Kansas, Kentucky, Minnesota, Missouri, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wisconsin, Wyoming, Manitoba, Saskatchewan, Alberta","Iowa, Saskatchewan, Alberta, Illinois, Nebraska, New Mexico, Texas, South Dakota, Manitoba, Wyoming, Colorado, Minnesota, Montana, Oklahoma, North Dakota, Kansas","Colorado, Illinois, Iowa, Kansas, Minnesota, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Manitoba, Saskatchewan, Alberta","Kentucky, Missouri, Wisconsin"
Heterodon platirhinos,"Alabama, Arkansas, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Great Lakes, Ontario","West Virginia, Iowa, Arkansas, Wisconsin, Pennsylvania, Texas, Tennessee, Indiana, New Jersey, Missouri, Kentucky, South Dakota, Louisiana, Minnesota, Virginia, Massachusetts, North Carolina, Michigan, Florida, Connecticut, Ohio, Georgia, South Carolina, Maryland, New York, New Mexico, Alabama, Mississippi, Ontario, Delaware, Illinois, Nebraska, Oklahoma, Kansas","Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Ontario","District of Columbia, New Hampshire, Rhode Island, Great Lakes"
Heterodon simus,"Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina","Georgia, South Carolina, Alabama, North Carolina, Florida, Mississippi","Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina",Louisiana
Hypsiglena chlorophaea,"Arizona, California, Colorado, Idaho, Nevada, New Mexico, Oregon, Utah, Washington, British Columbia","Oregon, Washington, Baja California, Arizona, Sonora, Nevada, Sinaloa, Colorado, New Mexico, British Columbia, Chihuahua, Utah, California, Idaho, Kansas","Arizona, California, Colorado, Idaho, Nevada, New Mexico, Oregon, Utah, Washington, British Columbia",
Hypsiglena jani,"Arizona, Colorado, Kansas, New Mexico, Oklahoma, Texas","Tamaulipas, Guanajuato, Hidalgo, Texas, Arizona, New Mexico, Colorado, Durango, Chihuahua, Zacatecas, Oklahoma, Aguascalientes, Coahuila,QuerÃ©taro, Kansas","Arizona, Colorado, Kansas, New Mexico, Oklahoma, Texas",
Hypsiglena ochrorhynchus,California,"Baja California, California, Nevada",California,
Lampropeltis alterna,"New Mexico, Texas","Texas, Durango, Chihuahua, Zacatecas, Coahuila",Texas,New Mexico
Lampropeltis annulata,Texas,"Tamaulipas, Guanajuato, Hidalgo, Texas,Nuevo LeÃ³n, Coahuila,QuerÃ©taro, San Luis PotosÃ­Â­",Texas,
